shipment_id,carrier,origin_port,destination_port,transport_mode,status,goods_category,currency,created_date,eta_date,transit_hours,distance_km,weight_kg,volume_m3,value_usd,freight_cost_usd,num_containers,num_stops,delay_hours,risk_score,weather_severity,port_congestion,temperature_c,priority_level,insurance_required
SHP-103577889,Kuehne_Nagel,Tokyo,Savannah,sea,On_Schedule,Consumer_Goods,EUR,2024-06-25,2024-07-07,302.7,11990.8,2545.5,4.99,99949.25,6451.92,23,0,0.0,0.5477,0.1965,0.2397,-18.1,2,False
SHP-104993933,CMA_CGM,Shanghai,Hamburg,sea,On_Schedule,Food_Beverage,SGD,2022-08-18,2022-08-23,137.5,13318.0,235549.5,336.24,23572.37,1598.23,1,2,0.0,0.0507,0.2309,0.2255,,2,True
SHP-104094901,Hapag-Lloyd,Tanjung_Pelepas,Houston,sea,On_Schedule,Raw_Materials,SGD,2023-07-23,2023-07-28,140.0,21511.2,1380.2,5.21,4955.53,154.3,1,0,0.0,0.7394,0.1631,0.6634,,2,True
SHP-104420498,Hapag-Lloyd,Singapore,Genoa,rail,On_Schedule,Automotive,SGD,2023-04-30,2023-05-08,194.0,2034.1,135.2,0.65,16962.75,1211.22,22,0,0.0,0.5743,0.2408,0.7115,,1,True
SHP-100634466,UPS,Shanghai,New_York,sea,On_Schedule,Perishables,EUR,2022-11-15,2022-11-25,249.5,5400.2,116276.6,167.58,12377.37,368.42,17,1,0.0,0.3524,0.3002,0.4974,,4,False
SHP-102801623,FedEx,Tokyo,Hamburg,sea,On_Schedule,Electronics,GBP,2022-07-01,2022-07-10,216.4,19205.0,4184.3,6.38,17517926.51,887126.56,14,2,0.0,0.3536,0.5178,0.4136,,1,False
SHP-103164756,MSC,Mumbai,Felixstowe,air,On_Schedule,Textiles,EUR,2022-02-21,2022-02-22,38.2,10236.2,8744.5,11.54,27011.35,879.54,20,5,0.0,0.0769,0.0841,0.3708,14.5,3,True
SHP-104162418,Kuehne_Nagel,Rotterdam,Los_Angeles,sea,In_Transit,Machinery,USD,2023-04-29,2023-05-20,507.1,8784.9,18190.9,43.92,10431.18,578.49,11,5,0.0,0.424,0.0206,0.2594,,2,False
SHP-100341964,MSC,Busan,Houston,sea,On_Schedule,Textiles,USD,2024-05-04,2024-05-14,250.2,16194.4,56.9,0.11,102760.38,5752.9,17,5,0.0,0.1645,0.2818,0.6703,,2,False
SHP-103080340,MSC,Singapore,Dubai,sea,At_Port,Machinery,CNY,2023-03-09,2023-03-24,363.2,1737.0,303.8,0.57,9539.48,284.0,18,2,0.0,0.2049,0.0093,0.3693,,2,False
SHP-102487960,DB_Schenker,Mundra,Le_Havre,sea,On_Schedule,Food_Beverage,CNY,2024-10-04,2024-10-22,432.1,18080.5,14597.3,24.36,454860.47,18864.84,3,1,0.0,0.5692,0.2995,0.1675,,4,False
SHP-101121407,Hapag-Lloyd,Felixstowe,Antwerp,sea,In_Transit,Perishables,SGD,2022-03-25,2022-04-16,534.2,12424.4,5585.6,9.97,51918.96,1136.08,3,3,0.0,0.3014,0.0643,0.525,,1,True
SHP-101624892,ZIM,Tokyo,Hamburg,sea,In_Transit,Textiles,GBP,2023-03-26,2023-04-16,509.3,9349.9,7717.8,12.15,49161.48,3030.37,1,1,0.0,0.1113,0.0935,0.65,,3,True
SHP-100478440,ONE,Dubai,Baltimore,rail,Critical_Delay,Machinery,CNY,2023-10-24,2023-10-27,72.6,5553.3,1105.3,1.98,330617.87,8277.14,4,2,34.3,0.1736,0.1774,0.6399,,1,False
SHP-101085149,Evergreen,Mumbai,Bremen,air,Delayed,Chemicals,CNY,2022-12-24,2022-12-26,64.3,6012.7,10731.4,35.65,11257.94,738.16,24,4,56.3,0.4503,0.1064,0.2275,,4,True
